dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_member_chat:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_event_triggered:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_start:ramun_introduce_1|Guten Tag, {junger Mann/junge Frau}.
dlga_ramun_introduce_1:ramun_introduce_2|Vergebt mir - Ihr seht wie ein Händler aus, doch Ihr scheint keine Waren zu haben.
dlga_ramun_introduce_1:close_window|Schon gut.
dlga_ramun_introduce_2:ramun_introduce_3|Ein Händler? Oh, das bin ich fürwahr. Mein Angebot unterscheidet sich jedoch von dem der meisten anderen Händler: Es muss zweimal täglich gefüttert und getränkt werden, und wenn ich ihm den Rücken zuwende, nimmt es Reißaus.
dlga_ramun_introduce_3:ramun_introduce_4|Vieh?
dlga_ramun_introduce_4:ramun_introduce_5|Nahe dran. Ich bezeichne mich gerne als den Mann, der alle Schiffe auf diesem Meer in Bewegung hält, denn Schiffe werden von Rudern angetrieben, und Ruder müssen von Männern bedient werden. Ansonsten sind sie nutzlos. Und genau da komme ich ins Spiel.
dlga_ramun_introduce_5:ramun_introduce_6|Galeerensklaven.
dlga_ramun_introduce_6:ramun_introduce_7|Jetzt habt Ihr es begriffen! Ein Handelshafen wie dieser könnte ohne sie nicht überleben. Da die Schiffe auf jeder Fahrt einige Matrosen einbüßen, herrscht ständig hoher Bedarf. Die Kapitäne kommen zu mir - und sie zahlen gut.
dlga_ramun_introduce_7:ramun_introduce_8|Woher kommen die Sklaven?
dlga_ramun_introduce_8:ramun_introduce_9|Meistens handle ich mit verurteilten Verbrechern, die ich der Obrigkeit abkaufe. Auch Kriegsgefangene aus verschiedenen Ländern habe ich im Angebot, denn ich biete gute Preise, und so bringt man sie mir. Gelegentlich kaufe ich auch von Freibeutern und anderen . . . 'Individuen'. Bei dieser Arbeit darf man sich nicht darum scheren, woher die Ware kommt. Ihr habt nicht zufällig ein paar Gefangene dabei, die Ihr loswerden wollt?
dlga_ramun_introduce_9:ramun_introduce_10|Ich? 
dlga_ramun_introduce_10:ramun_introduce_11|Warum denn nicht? Wenn Ihr diese Stadt verlasst, werdet Ihr früher oder später mit jemandem die Klingen kreuzen müssen - und, so Gott will, dabei die Oberhand behalten. Was wäre denn Schlimmes dabei, dadurch ein bisschen nebenbei zu verdienen? Ich zahle Euch zwanzig Dinare pro Kopf für jeden lebendigen Gefangenen. Wer sie sind und woher sie kommen interessiert mich nicht besonders.
dlga_ramun_introduce_11:ramun_introduce_12|Hmmm. Ich werde darüber nachdenken.
dlga_ramun_introduce_12:close_window|Ja, macht das! In diesem Geschäft steckt reichlich Geld, soviel ist sicher. Mehr als genug für uns beide.
dlga_start:ramun_talk|Hallo, {playername}.
dlga_ramun_pre_talk:ramun_talk|Sonst noch was?
dlga_ramun_talk:ramun_sell_prisoners|Ich habe einige Gefangene für Euch, Ramun. Wollt Ihr einen Blick auf sie werfen?
