str_no_string|NO STRING!
str_empty_string|
str_yes|Ja.
str_no|Nein.
str_blank_string|
str_error_string|ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone|niemand
str_s0|{s0}
str_blank_s1|{s1}
str_reg1|{reg1}
str_s50_comma_s51|{s50}, {s51}
str_s50_and_s51|{s50} und {s51}
str_s5_s_party|{s5}s Trupp
str_given_by_s1_at_s2|Ausgegeben von {s1} in {s2}
str_given_by_s1_in_wilderness|Ausgegeben von {s1} im Feld
str_s7_raiders|{s7} Räuber
str_bandits_eliminated_by_another|Die lästigen Banditen wurden von einem anderen Trupp eliminiert.
str_msg_battle_won|Gefecht gewonnen! Drückt die Tab-Taste zum Verlassen ...
str_tutorial_map1|Ihr seht nun die Weltkarte. Linksklickt auf die Karte, um Euren Trupp zur angeklickten Stelle zu bewegen, die ausgewählte Stadt betreten zu lassen, oder den ausgewählten Trupp zu verfolgen. Die Zeit pausiert auf der Weltkarte, wenn Euer Trupp nicht marschiert, wartet oder Rast macht. Um an einer Stelle zu warten, drückt und haltet die Leertaste.
str_change_color_1|Farbe 1 ändern
str_change_color_2|Farbe 2 ändern
str_change_background|Hintergrundmuster ändern
str_change_flag_type|Flaggentyp ändern
str_change_map_flag_type|Karten-Flaggentyp ändern
str_randomize|Zufällig anordnen
str_sample_banner|Musterbanner:
str_sample_map_banner|Muster-Kartenbanner:
str_number_of_charges|Number of charges:
str_change_charge_1|Change Charge 1
str_change_charge_1_color|Change Charge 1 Farbe
str_change_charge_2|Change Charge 2
str_change_charge_2_color|Change Charge 2 Farbe
str_change_charge_3|Change Charge 3
str_change_charge_3_color|Change Charge 3 Farbe
str_change_charge_4|Change Charge 4
str_change_charge_4_color|Change Charge 4 Farbe
str_change_charge_position|Change Charge Position
str_choose_position|Position wählen:
str_choose_charge|Choose a charge:
str_choose_background|Hintergrundmuster wählen:
str_choose_flag_type|Flaggentyp wählen:
str_choose_map_flag_type|Karten-Flaggentyp wählen:
str_choose_color|Farbe wählen:
str_accept|Accept{***}
str_charge_no_1|Charge #1:{***}
str_charge_no_2|Charge #2:{***}
str_charge_no_3|Charge #3:{***}
str_charge_no_4|Charge #4:{***}
str_change|Change{***}
str_plus|+{***}
str_minus|-{***}
str_color_no_1|Color #1:{***}
str_color_no_2|Color #2:{***}
str_charge|Charge{***}
str_color|Color{***}
str_flip_horizontal|Flip Horizontal{***}
str_flip_vertical|Flip Vertical{***}
str_hold_fire|Feuer einstellen
str_blunt_hold_fire|Stumpfe Waffen/Feuer einstellen
str_tutorial_ammo_refilled|Aufmunitioniert
str_tutorial_failed|Dieses Mal wurdet Ihr geschlagen, doch keine Sorge. Befolgt die Anweisungen sorgsam, und das nächste Mal wird viel besser. Drückt die Tab-Taste, um zum Menü zurückzukehren, wo Ihr dieses Tutorial erneut durchlaufen könnt.
