998
qstr_Next_Page Next_Page
qstr_Candidate_#1:_{s1} Candidate_#1:_{s1}
qstr_Candidate_#2:_{s1} Candidate_#2:_{s1}
qstr_{s3}_of_{s4}_wishes_ {s3}_of_{s4}_wishes_to_select_a_new_marshall_and_invites_his_vassals_for_a_counsel._{s1}_and_{s2}_are_the_likely_candidates.
qstr_Continue... Continue...
qstr_Who_do_you_wish_to_s Who_do_you_wish_to_support?
qstr_{s1} {s1}
qstr_{s1}_gives_his_suppo {s1}_gives_his_support_to_{s2}.
qstr_Number_of_Supporters Number_of_Supporters:_{reg0}
qstr_{s2}_has_heard_his_v {s2}_has_heard_his_vassals'_counsel._He_selects_{s1}_as_the_marshall_of_{s3}.
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Hold_This_Position Hold_This_Position
qstr_Follow_Me Follow_Me
qstr_Charge Charge
qstr_Advance Advance
qstr_Fall_Back Fall_Back
qstr_Stand_Closer Stand_Closer
qstr_Spread_Out Spread_Out
qstr_Stand_Ground Stand_Ground
qstr_Dismount Dismount
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Fire_At_Will Fire_At_Will
qstr_Us Us
qstr_Enemies Enemies
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Allies Allies
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{reg0?+:}{reg0} {reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{reg0} {reg0}
qstr_Friendly_Commandants Friendly_Commandants:_{reg0}
qstr_Enemy_Commandants:_{ Enemy_Commandants:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_cents Wealth:_{reg0}_cents
qstr_Inventory:_{reg0}_ce Inventory:_{reg0}_cents
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{reg3?+:}{reg0} {reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_Chest Chest
qstr_Belly Belly
qstr_Back Back
qstr_Arms Arms
qstr_Enter Enter
qstr_Mouse_position:_{reg Mouse_position:_{reg1},_{reg2}
qstr_Hit Hit
qstr_Stay Stay
qstr_Double Double
qstr_Bet:_{reg51}_cents Bet:_{reg51}_cents
qstr_Money:_{reg1}_cents Money:_{reg1}_cents
qstr_Done Done
qstr_Draw!_Your_bets_have Draw!_Your_bets_have_been_returned.
qstr_Your_opponent_has_Bl Your_opponent_has_Blackjack!_You_lose_an_additional_50%!
qstr_You_have_Blackjack!_ You_have_Blackjack!_You_win_an_additional_50%!
qstr_Bet:_0_cents Bet:_0_cents
qstr_Your_opponent_busted Your_opponent_busted._You_win!
qstr_You_busted._You_lose You_busted._You_lose!
qstr_Your_opponent_has_a_ Your_opponent_has_a_better_hand._You_lose!
qstr_You_have_a_better_ha You_have_a_better_hand._You_win!
qstr_You_lose._Try_again? You_lose._Try_again?
qstr_You_win!_Try_again? You_win!_Try_again?
qstr_Draw._Try_again? Draw._Try_again?
qstr_Yes Yes
qstr_No No
qstr_Your_opponent_stays. Your_opponent_stays.
qstr_You_don_t_have_enoug You_don't_have_enough_money.
qstr_You_stay. You_stay.
qstr_You_doubled_down!_Yo You_doubled_down!_You_can_only_draw_one_more_card.
qstr_Not_right_now. Not_right_now.
qstr_The_Cottonwood_Gang The_Cottonwood_Gang
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_DEBUG:_{s1}_no_longe DEBUG:_{s1}_no_longer_leads_a_party.
qstr_DEBUG:_{s1}_is_no_lo DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_DEBUG:_{s1}_is_now_a DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_DEBUG:_{s1}_is_now_a_ DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_1_dollar 1_dollar
qstr_{reg1}_dollars {reg1}_dollars
qstr_1_cent 1_cent
qstr_{reg1}_cents {reg1}_cents
qstr_{s3} {s3}
qstr_{s2} {s2}
qstr_{s2}_and_{s3} {s2}_and_{s3}
qstr_${reg1} ${reg1}
qstr_{s1}.00 {s1}.00
qstr_{s1}.0{reg1} {s1}.0{reg1}
qstr_{s1}.{reg1} {s1}.{reg1}
